"enriched gene sets - Cu NPs" "p value" "genes of the top 50 in the gene set"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 0.000125032504234846 "DKK1, GADD45B, DUSP5, UCHL1, IL6, SPINK1, TNFAIP3, TESC, DUSP6, XDH"
"GO_TISSUE_DEVELOPMENT" 0.00357031166438475 "DKK1, EDN1, DUSP5, PLAU, CYR61, AREG, IL6, EMP1, FOS, MAFF, EGR1, OVOL1, IFRD1"
"GO_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION" 0.00041183259062965 "DKK1, HMOX1, EDN1, DUSP5, UCHL1, IL6, SPINK1, IL1A, TNFAIP3, EGR1, DDIT3, DUSP6, XDH"
"GO_HEMOSTASIS" 0.00825842236920894 "PLAU, IL6, PLAT, TFPI2, MAFF"
"GO_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS" 0.00100968722270423 "HMOX1, DHRS2, IL6, FOS, TNFAIP3"
"GO_RESPONSE_TO_HYDROGEN_PEROXIDE" 9.82796527253095e-05 "HMOX1, AREG, IL6, TNFAIP3, DDIT3"
"GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN" 1.24709869833822e-08 "CCL20, CXCL2, CXCL3, EDN1, PLAU, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, CXCL1"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY" 0.00171854494003448 "DUSP5, UCHL1, TNFAIP3, DUSP6"
"GO_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS" 3.68680667880226e-06 "CXCL2, CXCL3, IL23A, CXCL1"
"GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER" 0.00429437672127295 "DKK1, HMOX1, EDN1, IL23A, CYR61, IL6, CSF3, FOS, IL1A, MAFF, EGR1, DDIT3, OVOL1, PLK3"
"GO_NEGATIVE_REGULATION_OF_CELL_PROLIFERATION" 0.00111783396593163 "HMOX1, DHRS2, IL6, IL1A, TNFAIP3, TESC, OVOL1, CXCL1, XDH"
"GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES" 2.16344016692107e-06 "HMOX1, EDN1, AREG, IL6, FOS, TNFAIP3, DDIT3, PLK3"
"GO_REGULATION_OF_VASCULATURE_DEVELOPMENT" 0.000447582761040973 "HMOX1, IL6, IL1A, TNFAIP3, EGR1, XDH"
